,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
315,horsham,20.0,AU,1536364588.0,98.0,-36.71,142.2,50.61,5.75
316,ca mau,80.0,VN,1536364588.0,100.0,9.18,105.15,77.97,11.79
319,luena,68.0,AO,1536364589.0,85.0,-11.78,19.91,65.73,5.86
320,hambantota,12.0,LK,1536364589.0,95.0,6.12,81.12,80.13,15.48
321,sawkta,88.0,SL,1536364590.0,100.0,8.63,-13.2,76.44,5.75
322,lucea,75.0,JM,1536361200.0,83.0,18.44,-78.17,78.8,3.36
323,tiksi,92.0,RU,1536364590.0,100.0,71.64,128.87,38.1,13.8
324,mareeba,20.0,AU,1536363000.0,54.0,-16.99,145.42,80.6,8.05
325,yulara,0.0,AU,1536361200.0,29.0,-25.24,130.99,60.8,6.93
326,nikel,0.0,NO,1536362400.0,100.0,69.41,30.21,35.6,4.7
327,lotofaga,40.0,WS,1536361200.0,62.0,-13.98,-171.86,86.0,10.29
328,alyangula,0.0,AU,1536364592.0,90.0,-13.85,136.42,79.23,6.64
329,bridlington,8.0,GB,1536362400.0,81.0,54.08,-0.19,53.6,10.29
330,sesimbra,0.0,PT,1536363000.0,77.0,38.45,-9.1,66.2,2.24
331,sitka,92.0,US,1536364593.0,88.0,37.17,-99.65,71.58,7.76
332,ishigaki,75.0,JP,1536361200.0,100.0,24.34,124.16,80.6,3.36
333,oistins,20.0,BB,1536361200.0,83.0,13.07,-59.53,80.6,11.41
334,vostok,24.0,RU,1536364593.0,87.0,46.45,135.83,52.86,2.84
335,kavaratti,100.0,IN,1536364594.0,99.0,10.57,72.64,81.93,14.25
336,el viejo,40.0,NI,1536361200.0,94.0,12.66,-87.17,80.6,6.93
337,vao,92.0,EE,1536364594.0,89.0,59.1,26.19,59.79,2.73
338,shieli,0.0,KZ,1536364594.0,80.0,44.18,66.74,43.77,2.84
339,litein,0.0,KE,1536364595.0,89.0,-0.58,35.18,48.63,5.19
340,ust-nera,88.0,RU,1536364595.0,88.0,64.57,143.24,48.54,2.28
341,san antero,75.0,CO,1536361200.0,88.0,9.38,-75.76,82.4,6.93
342,omboue,20.0,GA,1536364596.0,100.0,-1.57,9.26,75.45,8.55
343,alice springs,0.0,AU,1536363000.0,27.0,-23.7,133.88,64.4,9.17
344,ancud,24.0,CL,1536364596.0,89.0,-41.87,-73.83,42.51,4.63
345,camacha,20.0,PT,1536363000.0,73.0,33.08,-16.33,69.8,12.75
346,matagami,88.0,NG,1536364597.0,99.0,9.67,8.4,66.81,3.74
347,port-cartier,75.0,CA,1536361200.0,76.0,50.03,-66.88,50.0,5.82
348,ponta delgada,75.0,PT,1536363000.0,94.0,37.73,-25.67,69.8,5.82
350,sistranda,0.0,NO,1536360600.0,63.0,63.73,8.83,60.8,19.46
351,hualmay,20.0,PE,1536364598.0,87.0,-11.1,-77.61,60.6,4.63
353,diu,48.0,IN,1536364599.0,95.0,20.71,70.98,72.12,6.2
354,arraial do cabo,0.0,BR,1536364599.0,97.0,-22.97,-42.02,67.17,10.56
355,san jeronimo,32.0,PE,1536364599.0,44.0,-13.65,-73.37,51.06,2.17
356,tiquisio,32.0,CO,1536364599.0,94.0,8.56,-74.26,76.17,1.72
358,wismar,0.0,DE,1536362400.0,87.0,53.89,11.46,51.8,4.7
359,kidal,0.0,ML,1536364600.0,38.0,18.44,1.41,80.22,3.06
360,carson city,1.0,US,1536362100.0,10.0,39.16,-119.77,95.0,13.87
361,kozhanka,0.0,UA,1536361200.0,51.0,49.97,29.75,60.8,2.24
